ClientID,Name,Password,Balance
1,Ann,827637,1002
2,Jerry,738036,2045
3,Pashka,818292,773
4,Imran,798720,2252
5,Kamila,768864,1758
6,Pashka,907693,2454
7,Jerry,787537,1491
8,Pavel,757229,1583
9,Elbrus,776613,619
10,Xing,697176,1351
11,Rose,796736,1168
12,George,828840,1784
13,Hajymyrat,788660,1679
14,Natalia,867373,1630
15,Georgy,718643,1554
16,Tanya,777255,1643
17,Edna,677722,2243
18,Nate,708744,1698
19,Hodges,816749,2178
20,Anya,856775,1889
21,Rose,796936,1892
22,Pashka,757716,1053
23,Ann,658521,2014
24,Nikita,688159,2229
25,Xing,748979,1150
26,Tanya,737381,1604
27,George,806973,1302
28,Lizbeth,887398,1901
29,Pavel,788099,2246
30,Ann,848095,2275
31,Edna,908347,1238
32,Nate,797672,750
33,Hodges,727861,1898
34,Martin,718479,848
35,Lyudmila,707990,1194
36,Nikita,806879,1414
37,Natalia,657937,1224
38,George,748717,2085
39,George,658683,1826
40,Alexei,907618,1057
41,Alexei,657852,1898
42,Hajymyrat,847018,1508
43,Ann,888168,1025
44,Lizbeth,756547,864
45,Edna,807738,1642
46,Nicholas,857486,2108
47,George,838940,1820
48,Hermann,857979,1345
49,Yuri,736569,1220
50,Hodges,698446,1372
51,Harry,807075,655
52,Deng,896571,2041
53,Pashka,747836,846
54,Konstantin,837349,1295
55,Georgy,768457,1308
56,Nate,748449,1187
57,Harry,687754,1055
58,Ann,717557,2126
59,Alexei,808349,2459
60,Elbrus,658952,1208
61,Martin,836841,979
62,Iosif,897685,1640
63,Xing,877413,2081
64,Kevin,867797,800
65,Carlos,908785,1577
66,Brandon,788237,2161
67,Alexander,738896,1687
68,Ann,707635,1386
69,Edna,818172,1453
70,Martin,797232,1270
71,Carlos,697733,1850
72,Elbrus,888450,1599
73,Lizbeth,867426,2255
74,Ann,716538,1462
75,Ann,758412,1720
76,Alexei,707785,2237
77,Pavel,776613,772
78,Ann,849079,1092
79,Johannes,717341,675
80,Ann,827760,1145
81,Frank,798773,1821
82,George,877493,2483
83,James,767159,2271
84,Lizbeth,817314,1440
85,George,757147,847
86,Kevin,816956,860
87,Xing,847519,2172
88,Frank,757149,747
89,Phillip,897281,638
90,Konstantin,746870,738
91,Jerry,667892,1673
92,Nicholas,687987,1322
93,Sergei,778669,2195
94,Zachary,677467,1224
95,Ann,887538,1676
96,Carlos,898322,784
97,Phillip,867971,1725
98,James,788194,1836
99,Edna,848013,2223
100,Kamila,798075,827
101,Imran,716522,809
102,Hodges,657555,604
103,Frank,908630,1703
104,Tanya,898046,1345
105,Johannes,697331,2479
106,Matt,827177,673
107,Konstantin,897889,1455
108,Alexei,728189,522
109,Imran,837648,1256
110,Kevin,746520,2498
111,Anya,897932,791
112,Kevin,887864,1833
113,Nicholas,688753,1582
114,Anya,687939,1925
115,Kevin,667398,2304
116,Xing,899061,1510
117,Aman,717695,1301
118,Konstantin,718564,1581
119,Johannes,698988,1268
120,Hermann,668944,2174
121,Harry,776916,1806
122,Yuri,837960,1140
123,Hajymyrat,678592,1436
124,George,757440,1420
125,Matt,747682,1119
126,Elbrus,817757,2334
127,Carlos,908090,1169
128,Aman,808460,973
129,Deng,788026,2214
130,Pashka,797846,2371
131,Harry,727836,709
132,Zachary,657469,2485
133,Chemena,726546,2304
134,Lyudmila,817110,1675
135,Jerry,798686,2103
136,Lizbeth,768353,1467
137,Zachary,758525,1842
138,Tan,667081,2044
139,George,788198,1655
140,Rose,867718,1141
141,Ann,777768,2086
142,Vladimir,817933,2415
143,Kevin,858768,788
144,Rose,728436,1934
145,Leonid,868655,1858
146,Kamila,797579,1165
147,Alexei,667766,534
148,Yuri,797583,1741
149,Martin,718529,936
150,Alexei,906926,2092
151,Imran,687965,865
152,George,867245,1769
153,Lyudmila,718816,2450
154,Alexei,686680,604
155,Rose,717658,796
156,Martin,878340,1877
157,Edna,827378,2017
158,Sergei,728320,1610
159,Vladimir,777185,1046
160,Amir,837289,1282
161,Leonid,658411,1489
162,Carlos,899069,1224
163,Iosif,738597,1717
164,Carlos,867467,1987
165,Brandon,678110,1662
166,Frank,828291,594
167,Zachary,868822,1309
168,Pashka,909059,1395
169,Tan,747648,1358
170,Tanya,838058,704
171,Zachary,808165,2171
172,Brandon,778077,2140
173,Wolfgang,657473,1542
174,Frank,677328,1638
175,Pavel,816649,2170
176,Iosif,896859,2297
177,Elbrus,666812,1272
178,Nate,769064,1923
179,Johannes,877168,2407
180,Ann,777980,2446
181,Aman,686528,578
182,Alexei,877282,1838
183,Ann,906939,776
184,Imran,847516,1558
185,Yuri,796779,1277
186,Natalia,786929,858
187,Hermann,747360,2370
188,Edna,787829,1078
189,Phillip,887382,1900
190,Natalia,716953,1558
191,Hajymyrat,678085,2131
192,Phillip,767076,1780
193,Hermann,888051,1781
194,Martin,797272,521
195,James,906950,977
196,Alexei,707699,2187
197,Deng,747214,1586
198,Edna,898385,1544
199,Imran,897234,2321
200,James,858557,1682
201,Anya,837913,1230
202,Amir,887381,631
203,Ann,786821,887
204,Hermann,846550,1801
205,George,656860,1236
206,Kamila,708527,1344
207,Konstantin,747140,2427
208,Konstantin,888448,918
209,Amir,777681,1671
210,Vladimir,858567,574
211,Chemena,798311,548
212,Jerry,688994,1249
213,Alexei,678146,2169
214,Nate,737026,2050
215,Konstantin,837085,2418
216,Elbrus,828397,2180
217,Lizbeth,886714,2245
218,Hodges,836645,2188
219,George,858359,1068
220,Iosif,707446,923
221,Hodges,706545,2389
222,Nikita,798449,812
223,Imran,867361,1470
224,Lyudmila,858397,876
225,Zachary,686977,914
226,James,898710,2294
227,Alexei,886844,1018
228,George,677034,1266
229,Rose,738714,813
230,Phillip,908417,1416
231,Nate,738285,1412
232,Phillip,898483,2012
233,Amir,876570,2028
234,Iosif,896516,1150
235,Hajymyrat,689055,2425
236,Natalia,827710,1940
237,Kevin,757924,1329
238,Georgy,778939,2068
239,Anya,707630,2308
240,Carlos,708630,988
241,Brandon,757492,771
242,Yuri,809079,1917
243,Matt,737941,615
244,Alexei,908819,785
245,Tanya,758275,653
246,Vladimir,837631,1341
247,Anya,656674,1200
248,Jose,818968,2483
249,Imran,898321,764
250,George,847582,2021
251,Nikita,667854,635
252,Ann,737352,1236
253,Nikita,808854,1564
254,Lavrentiy,826559,1034
255,Matt,688097,1987
256,Elbrus,667221,865
257,Phillip,658237,2156
258,Natalia,798935,2208
259,Chemena,747915,518
260,Johannes,667031,1922
261,Jerry,858412,1357
262,Matt,837886,2238
263,Pashka,747475,2245
264,Ann,898294,1221
265,Tanya,667768,2116
266,Sergei,699088,1477
267,Sergei,858334,2497
268,Gregoire,826671,1591
269,Lizbeth,728887,1885
270,Matt,666954,1534
271,Johannes,748023,533
272,Tanya,788696,1273
273,Vladimir,777291,2049
274,James,768697,1674
275,Hodges,788571,1800
276,Sergei,709049,2499
277,Harry,658255,2227
278,Ann,806544,1357
279,Kevin,837416,1814
280,Tan,887327,1756
281,Aman,667040,1451
282,Elbrus,676536,2357
283,George,718230,2354
284,Ann,798360,1782
285,Tanya,797721,1268
286,Matt,756529,575
287,Kevin,707936,1067
288,Alexander,708995,2046
289,Elbrus,656991,1789
290,Nate,828989,1036
291,Hodges,758571,2495
292,Rose,767749,1058
293,Nate,757491,1888
294,Iosif,867664,707
295,Jose,797722,839
296,Ann,908996,733
297,Aman,806785,2084
298,Alexander,747298,1315
299,Ann,856511,1845
300,Konstantin,826621,1281
301,Elbrus,718253,839
302,Amir,758040,1958
303,Hermann,858526,1279
304,Ann,887578,1414
305,James,848973,1672
306,Chemena,837635,1102
307,Pavel,738423,1010
308,Anya,738313,533
309,Harry,876893,1605
310,Kamila,668354,1212
311,Jerry,728980,519
312,Georgy,826877,1282
313,Deng,866515,1691
314,Amir,808017,555
315,Wolfgang,796550,1812
316,Konstantin,708014,876
317,Gregoire,837684,1510
318,Elbrus,866838,2265
319,Chemena,858161,2277
320,Kevin,656667,1284
321,Nikita,836523,2398
322,Chemena,698962,1994
323,Wolfgang,828148,1482
324,James,757863,961
325,Carlos,827599,1480
326,Yuri,727719,1115
327,George,857575,1076
328,Georgy,887675,1952
329,Wolfgang,687454,998
330,Xing,876887,1064
331,Brandon,786585,1436
332,Hermann,766826,1767
333,Nicholas,677121,1558
334,Hermann,737861,2121
335,Alexander,818340,1142
336,Gregoire,717839,1661
337,Nate,878270,510
338,Ann,656942,2469
339,Harry,857315,1038
340,Johannes,888923,2010
341,Deng,867490,996
342,Deng,847449,506
343,Zachary,838620,2171
344,Nate,858370,797
345,Alexander,708546,2431
346,Johannes,717927,2411
347,Frank,728590,1712
348,Aman,666857,1271
349,Frank,766527,1031
350,Vladimir,877252,1343
351,Amir,838873,2007
352,Deng,686722,736
353,Yuri,737786,2458
354,Alexei,677344,1458
355,Tanya,808958,1200
356,Gregoire,807963,1442
357,George,857145,967
358,Chemena,727097,1037
359,Brandon,708877,1828
360,Georgy,737160,2057
361,Konstantin,666590,2366
362,Xing,788089,765
363,Nikita,786887,2429
364,Sergei,848645,638
365,Ann,746651,1943
366,Pavel,717432,1849
367,Chemena,676683,2105
368,Nikita,756910,1700
369,Wolfgang,846975,1801
370,Jose,868431,663
371,Georgy,888565,1486
372,Anya,867785,2394
373,Lavrentiy,656856,535
374,Anya,668114,1208
375,Tanya,778023,1600
376,Brandon,798065,702
377,Edna,868635,606
378,Johannes,689063,919
379,Nikita,678648,1191
380,Hermann,768264,787
381,Frank,868358,1441
382,Martin,786530,1377
383,Rose,746913,1170
384,Natalia,848434,586
385,Edna,687716,1820
386,Kamila,807422,1108
387,Gregoire,758286,1620
388,Nicholas,748756,2499
389,George,847558,651
390,Johannes,838379,1652
391,Iosif,866891,1320
392,Wolfgang,728384,748
393,Ann,699029,1790
394,Phillip,778319,2256
395,Hodges,717478,865
396,Yuri,767624,2221
397,Vladimir,656542,2282
398,James,847983,2450
399,Phillip,877173,2105
400,Hodges,866699,2142
401,Kamila,878676,538
402,Alexei,766710,1215
403,Ann,726539,2079
404,Jose,737881,2132
405,Kevin,726696,750
406,Yuri,788480,1154
407,Xing,658549,1070
408,Carlos,817449,764
409,Yuri,797672,1538
410,Alexander,678363,823
411,Iosif,846656,1787
412,Pavel,898068,981
413,Konstantin,658630,1522
414,Nate,818814,919
415,Alexander,808662,1458
416,Gregoire,756578,1591
417,Aman,878817,1703
418,Tanya,798513,2129
419,Natalia,758955,2459
420,Pashka,906775,998
421,Lizbeth,827883,961
422,Johannes,837816,2344
423,Xing,899030,1267
424,Imran,717095,2480
425,Chemena,656744,1964
426,Elbrus,747265,1552
427,Jerry,868733,2042
428,Gregoire,707415,2165
429,Hermann,758652,2087
430,Sergei,798154,1382
431,Johannes,657745,1968
432,Harry,788912,1889
433,Jerry,728781,1152
434,George,768559,1079
435,Vladimir,808696,511
436,Lyudmila,717398,1482
437,Imran,738335,2375
438,Phillip,878228,1552
439,Imran,808863,1763
440,Johannes,787552,2097
441,Gregoire,687216,1883
442,Natalia,767035,2268
443,Wolfgang,877833,1072
444,Kamila,718117,1051
445,Chemena,777180,1257
446,Harry,658231,2036
447,Anya,868550,886
448,Ann,817194,1704
449,Amir,888396,1055
450,Aman,696666,723
451,Imran,837612,1240
452,Ann,828794,703
453,Brandon,838047,1161
454,Kamila,668377,1471
455,Leonid,847952,1221
456,Gregoire,759057,950
457,Kevin,769047,1636
458,Carlos,818097,1911
459,Lizbeth,907334,521
460,Chemena,866815,2458
461,Hermann,787277,1176
462,Natalia,896696,2335
463,Rose,777599,2213
464,Hodges,898625,1028
465,Matt,848184,1021
466,Nicholas,667513,1497
467,Chemena,687365,2090
468,Brandon,868516,2500
469,Pashka,697825,961
470,Yuri,906893,655
471,Kamila,777528,1387
472,Iosif,888044,518
473,George,788618,1301
474,Iosif,718285,1694
475,Kevin,678055,1915
476,Amir,658526,2166
477,Johannes,747119,829
478,Aman,786694,2387
479,Chemena,787167,1594
480,George,686999,2427
481,Ann,748381,1111
482,Harry,837987,1152
483,George,806516,609
484,Ann,687823,1141
485,Alexei,856773,818
486,Elbrus,788064,1316
487,Anya,886567,1434
488,Leonid,758472,1881
489,Deng,857343,2259
490,Brandon,668224,1709
491,Gregoire,736958,2034
492,Hodges,838337,1905
493,Rose,716847,683
494,Ann,827221,563
495,Vladimir,868940,1547
496,Gregoire,718416,2320
497,Lyudmila,858394,1651
498,Nikita,716947,2449
499,Rose,807613,1618
500,Aman,867128,1547
501,Matt,836837,1006
502,Phillip,708573,2116
503,Frank,698535,1107
504,Ann,666774,1959
505,Lizbeth,707219,2497
506,Aman,738243,2360
507,George,787962,1235
508,Frank,767690,1111
509,Wolfgang,798910,1365
510,Edna,887822,1316
511,Amir,837528,852
512,Gregoire,776537,1273
513,Matt,747443,1987
514,Brandon,668985,1873
515,George,687719,2368
516,Hajymyrat,797435,1695
517,Vladimir,727685,2347
518,Gregoire,827629,818
519,Rose,816512,2002
520,Martin,858581,2474
521,Zachary,786572,2476
522,Nicholas,696766,2178
523,Carlos,856924,962
524,Lizbeth,907124,2116
525,Ann,697126,683
526,Amir,878543,2468
527,Elbrus,717975,926
528,Kevin,838141,2026
529,Alexei,826521,2097
530,Rose,687064,2332
531,Harry,828235,1387
532,Tan,766852,2435
533,Johannes,847045,643
534,Xing,807565,683
535,Johannes,786620,1210
536,George,897765,2341
537,Hermann,736819,580
538,Hodges,817110,1163
539,Nikita,707322,821
540,Carlos,889067,2243
541,Konstantin,687956,1854
542,Carlos,686525,526
543,Vladimir,867688,1366
544,Phillip,828324,1812
545,Iosif,896954,792
546,Tanya,677024,1688
547,Iosif,727787,1458
548,Lizbeth,878366,2265
549,Tanya,686686,977
550,Pashka,878866,702
551,Yuri,657754,2278
552,Phillip,656847,658
553,Kevin,747455,2077
554,Lizbeth,827385,759
555,Yuri,707566,2450
556,Frank,907359,1874
557,Phillip,826893,803
558,Lavrentiy,886663,576
559,Harry,836538,1217
560,Iosif,678642,505
561,George,668187,715
562,James,748777,1579
563,Frank,657358,1219
564,Yuri,807612,2332
565,Nikita,686946,1282
566,Hodges,758321,1496
567,George,896922,2016
568,Hodges,788892,1212
569,Rose,807372,1817
570,Harry,848915,2458
571,Nate,806711,1469
572,Lyudmila,828390,941
573,Pashka,787478,1990
574,George,856867,834
575,Jose,758455,1867
576,Tan,757546,1135
577,Pavel,877295,1312
578,Nate,716852,1679
579,Edna,687135,1457
580,Georgy,868344,1199
581,Lavrentiy,706934,2003
582,Tanya,708873,1417
583,Konstantin,728246,1822
584,Vladimir,717234,2211
585,Johannes,677492,588
586,Pashka,708545,1550
587,Deng,697183,683
588,Pavel,757888,1063
589,George,829028,1810
590,George,847563,608
591,Konstantin,668764,805
592,Phillip,658779,1483
593,Leonid,897557,1727
594,Nicholas,877438,1900
595,Sergei,858012,1979
596,Ann,808083,2195
597,Ann,716898,2466
598,Chemena,897543,1937
599,Pavel,898180,2276
600,Alexei,657519,642
601,George,689041,2399
602,Elbrus,867310,1654
603,Xing,817619,1257
604,Gregoire,756726,509
605,Imran,727225,2272
606,Ann,837774,1580
607,Imran,827985,1550
608,George,737650,912
609,Zachary,846711,2011
610,Rose,796935,1616
611,Ann,697035,959
612,Amir,667574,2333
613,Natalia,708164,1340
614,Yuri,878597,1179
615,Sergei,787511,1548
616,James,787756,2226
617,Tanya,838836,807
618,Yuri,697618,1117
619,Anya,736798,651
620,Ann,847035,919
621,Edna,748393,1282
622,Pavel,847538,2008
623,Amir,907679,1440
624,Ann,807792,2168
625,Wolfgang,756575,1563
626,Konstantin,818923,2013
627,Gregoire,717315,798
628,Konstantin,847984,1132
629,Ann,676563,1497
630,Rose,717192,995
631,Tan,698376,1949
632,Xing,887112,1429
633,Zachary,878863,1350
634,Jerry,698793,1663
635,Hodges,827734,1997
636,Ann,838645,1754
637,Jerry,828079,1646
638,Alexander,849075,2394
639,Hodges,828294,1187
640,Imran,678841,1607
641,Edna,726596,1017
642,Konstantin,778022,1589
643,Lizbeth,818751,806
644,Deng,747926,1785
645,Gregoire,687689,2005
646,Rose,877756,1240
647,Kevin,717750,1217
648,Nikita,777649,651
649,Elbrus,817557,569
650,Jose,866953,2385
651,Iosif,737617,1282
652,Aman,906645,839
653,Brandon,666581,738
654,Zachary,767948,811
655,Lizbeth,878655,1106
656,Jerry,887919,2025
657,James,698590,2386
658,Hodges,779026,1983
659,Xing,788559,1267
660,Nikita,868694,1191
661,Rose,797369,2265
662,Jose,737789,1751
663,Hajymyrat,866777,820
664,Lyudmila,727357,2044
665,Harry,778667,1808
666,Elbrus,877461,2242
667,Pashka,788755,1209
668,Elbrus,787714,1154
669,Pavel,687460,1864
670,Harry,876596,1421
671,Carlos,696840,1060
672,Vladimir,666654,2412
673,Gregoire,738782,507
674,Gregoire,698272,573
675,George,679038,681
676,Ann,836537,1469
677,Tan,896666,2400
678,Nicholas,688544,1554
679,Tanya,687977,818
680,Alexander,738643,1887
681,Hermann,687436,1951
682,Vladimir,837428,2344
683,Ann,786881,1625
684,Brandon,778535,2137
685,Amir,816521,589
686,Jerry,817287,536
687,George,887248,1422
688,Iosif,828280,1225
689,Tan,718248,1747
690,Hodges,778599,1100
691,Chemena,856843,1706
692,Brandon,898499,746
693,Lyudmila,667337,567
694,Phillip,877476,1971
695,Tan,846990,2304
696,Kamila,777063,1883
697,Hodges,898963,904
698,Jerry,787173,944
699,Phillip,708449,2401
700,Konstantin,696830,1992
701,Jerry,846833,1916
702,Nikita,737876,2442
703,Elbrus,716715,1315
704,Nikita,687098,1774
705,Kevin,818658,2330
706,Matt,898871,1518
707,Hodges,848040,1079
708,Imran,826534,1284
709,Tanya,698621,2151
710,Nate,836950,1960
711,Tan,827463,990
712,Ann,678878,674
713,Amir,738721,586
714,Lavrentiy,817732,1520
715,Xing,708990,1497
716,Phillip,757867,600
717,Edna,857028,2054
718,Xing,908561,1398
719,Xing,828557,811
720,Zachary,658919,2035
721,Iosif,666819,1437
722,Hajymyrat,907199,512
723,Xing,766818,1003
724,Ann,766849,1577
725,Leonid,727070,2073
726,Lavrentiy,847326,2269
727,Alexander,738440,2054
728,Chemena,687577,1920
729,Sergei,676968,2176
730,Georgy,838242,2129
731,Nicholas,817172,559
732,Pashka,658325,1118
733,Edna,716629,535
734,Yuri,847788,596
735,Phillip,908815,1544
736,Pavel,747613,966
737,Kevin,757424,920
738,Tan,748821,645
739,Georgy,838892,1024
740,Yuri,696732,1611
741,Xing,717954,2440
742,Wolfgang,686759,1888
743,Gregoire,877859,2339
744,Lizbeth,906915,2199
745,Elbrus,738274,946
746,Carlos,707471,2046
747,Martin,806695,2013
748,Johannes,757163,2079
749,Tanya,737536,942
750,Georgy,798170,1814
751,Nicholas,758035,1275
752,Rose,857025,2112
753,Lyudmila,756620,2153
754,Jose,798798,1065
755,Lyudmila,678267,872
756,Martin,847235,1938
757,Kevin,728952,1249
